age,StateName,"(1.0, 1.0)","(1.0, 2.0)","(1.0, 3.0)","(1.0, 4.0)","(1.0, 5.0)","(1.0, 6.0)","(1.0, 7.0)","(1.0, 8.0)","(2.0, 1.0)","(2.0, 2.0)","(2.0, 3.0)","(2.0, 4.0)","(2.0, 5.0)","(2.0, 6.0)","(2.0, 7.0)","(2.0, 8.0)","('TotalPOP', '')","('key', '')"
79,Louisiana,7015,9171,1977,3193,59,77,113,147,258,308,19,20,4,8,2,11,22382,4048
43,Nebraska,8958,8688,680,517,97,110,309,416,1207,1157,29,30,81,56,27,13,22375,2221
70,Utah,9448,10490,68,75,97,80,328,386,647,668,9,9,23,29,7,10,22374,3615
20,West Virginia,10378,9776,809,555,20,14,132,161,220,228,43,13,9,5,7,2,22372,1069
49,Nebraska,9154,8953,593,505,95,90,320,327,1140,944,36,23,62,58,18,22,22340,2527
75,Nevada,7760,8055,692,737,88,111,990,1417,1014,1290,18,38,37,33,20,36,22336,3854
70,West Virginia,10148,11152,308,305,32,31,65,103,70,91,2,4,3,3,2,2,22321,3619
62,Idaho,9659,10532,79,56,142,135,122,185,631,660,6,12,38,46,7,4,22314,3175
46,New Mexico,3806,3808,303,198,993,1138,201,330,5342,5449,76,104,257,216,35,43,22299,2378
60,New Hampshire,10388,10796,131,92,36,26,144,198,189,184,23,12,8,0,9,4,22240,3090
75,Arkansas,8758,10519,943,1261,69,73,81,146,157,190,8,14,8,9,1,3,22240,3829
52,West Virginia,10429,10487,449,331,30,30,105,104,138,105,11,5,4,5,2,0,22235,2701
74,Arkansas,8895,10313,975,1244,79,70,79,131,202,205,12,13,6,6,1,0,22231,3778
45,Nebraska,8847,8593,583,565,107,110,334,390,1293,1125,46,44,71,76,23,11,22218,2323
71,West Virginia,10088,11186,298,295,23,19,49,89,69,85,3,7,2,1,0,2,22216,3670
73,New Mexico,6522,7099,149,121,466,678,109,178,3028,3575,32,34,104,67,11,16,22189,3755
43,Idaho,9290,9127,94,74,119,135,179,280,1403,1250,22,13,85,54,16,22,22163,2206
